Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
11,0.997920997920998,0.9978237214363439,0.9979253112033195,0.9979423868312757,0.9979274611398964,0.9979274611398964,0.9978880675818373,0.9978969505783386,0.993368700265252,0.9986789960369881,0.0,0.9979123173277662,0.9893048128342246,0.9979123173277662,0.997920997920998,0.9978969505783386,0.9979101358411703,0.9979591836734694,0.9978354978354979,0.997946611909651,0.9973753280839895,0.9979274611398964,0.9978046103183315,0.9979423868312757,0.9978991596638656,0.9979231568016614,0.9986893840104849,0.9978925184404637,0.997920997920998,0.997920997920998,0.9979166666666667,0.9977678571428571,0.997920997920998,0.998792270531401,0.9978991596638656,
12,0.9914236706689536,0.9973451327433628,0.9905741216795201,0.9845890410958904,0.990582191780822,0.990582191780822,0.9895561357702349,0.9887152777777778,0.9979360165118679,0.9979338842975206,0.9979123173277662,0.0,0.9979296066252588,0.9896551724137931,0.9888220120378332,0.9887152777777778,0.9887737478411054,0.9838297872340426,0.9911347517730497,0.9837467921300257,0.9969167523124358,0.990582191780822,0.9892183288409704,0.9363228699551569,0.9869678540399652,0.9879621668099742,0.9989743589743589,0.9886956521739131,0.9853321829163072,0.960212201591512,0.01016949152542368,0.997289972899729,0.9879518072289156,0.9980750721847931,0.9598572702943801,
13,0.9979381443298969,0.9978425026968716,0.9979423868312757,0.9979591836734694,0.9979445015416238,0.9979445015416238,0.9979057591623036,0.9979144942648592,0.9921156373193167,0.9986928104575163,0.9893048128342246,0.9979296066252588,0.0,0.9979296066252588,0.9979381443298969,0.9979144942648592,0.9979274611398964,0.9979757085020243,0.9978540772532188,0.9979633401221996,0.9974025974025974,0.9979445015416238,0.9978237214363439,0.9979591836734694,0.9979166666666667,0.9979402677651905,0.9987029831387808,0.9979101358411703,0.9979381443298969,0.9979381443298969,0.9979338842975206,0.9977876106194691,0.9979381443298969,0.9988038277511961,0.9979166666666667,
14,0.9862068965517241,0.9964570416297609,0.9818496110630942,0.9880546075085325,0.9818652849740933,0.9818652849740933,0.9869109947643979,0.9798598949211909,0.9979360165118679,0.9979338842975206,0.9979123173277662,0.9896551724137931,0.9979296066252588,0.0,0.9800520381613183,0.9798598949211909,0.9799651567944251,0.988135593220339,0.9848349687778769,0.9872122762148338,0.9969167523124358,0.9818652849740933,0.9846570397111913,0.9906382978723405,0.9780893952673094,0.9800693240901213,0.9989743589743589,0.9807186678352322,0.9879518072289156,0.9905579399141631,0.9896729776247849,0.997289972899729,0.9809358752166378,0.9980750721847931,0.9904761904761905,
15,0.9845094664371773,0.9964695498676082,0.9739583333333334,0.9855072463768116,0.97398091934085,0.97398091934085,0.985191637630662,0.02533783783783783,0.9979445015416238,0.9979423868312757,0.997920997920998,0.9888220120378332,0.9979381443298969,0.9800520381613183,0.0,0.02533783783783783,0.04492512479201327,0.9856054191363252,0.9830810329474622,0.9846678023850085,0.9969293756397134,0.9730902777777778,0.9828828828828828,0.9889549702633815,0.9525514771709938,0.9455357142857143,0.9989785495403473,0.9477006311992786,0.9862542955326461,0.988860325621251,0.9888412017167382,0.9972997299729973,0.9473684210526316,0.9980824544582934,0.9896373056994818,
16,0.9852430555555556,0.9964349376114082,0.9746059544658494,0.9853700516351118,0.9746281714785652,0.9746281714785652,0.9859402460456942,0.0,0.997920997920998,0.9979188345473465,0.9978969505783386,0.9887152777777778,0.9979144942648592,0.9798598949211909,0.02533783783783783,0.0,0.027118644067796627,0.9854700854700855,0.9829136690647482,0.9845227858985383,0.9968944099378882,0.9737302977232924,0.9827115559599636,0.9888507718696398,0.953026196928636,0.946894689468947,0.9989669421487604,0.9471766848816029,0.9861231569817867,0.9887543252595156,0.988734835355286,0.9972727272727273,0.9487410071942446,0.998062015503876,0.9895379250217959,
17,0.9853195164075993,0.9964539007092199,0.9747386759581882,0.985445205479452,0.9747606614447345,0.9747606614447345,0.986013986013986,0.027118644067796627,0.9979338842975206,0.9979317476732161,0.9979101358411703,0.9887737478411054,0.9979274611398964,0.9799651567944251,0.04492512479201327,0.027118644067796627,0.0,0.9855442176870748,0.983005366726297,0.9846022241231822,0.9969135802469136,0.9738675958188153,0.9828054298642533,0.9889078498293515,0.9532794249775381,0.9471799462846912,0.9989733059548255,0.947463768115942,0.9861949956859362,0.9888123924268503,0.9887931034482759,0.9972875226039783,0.9490161001788908,0.9980732177263969,0.98959236773634,
18,0.9915824915824916,0.996524761077324,0.9881956155143339,0.022913256955810146,0.9882055602358888,0.9882055602358888,0.9871575342465754,0.9854700854700855,0.9979818365287588,0.997979797979798,0.9979591836734694,0.9838297872340426,0.9979757085020243,0.988135593220339,0.9856054191363252,0.9854700854700855,0.9855442176870748,0.0,0.988666085440279,0.9118705035971223,0.9969849246231156,0.9882055602358888,0.9885361552028219,0.9840201850294366,0.9846153846153847,0.9847586790855207,0.9989969909729187,0.985445205479452,0.9856054191363252,0.9864636209813875,0.9829931972789115,0.9973427812223207,0.9847457627118644,0.998114985862394,0.9863481228668942,
19,0.9884853852967228,0.9954296160877514,0.9858156028368794,0.9885864793678666,0.9858281665190434,0.9858281665190434,0.9874213836477987,0.9829136690647482,0.9978609625668449,0.9978586723768736,0.9978354978354979,0.9911347517730497,0.9978540772532188,0.9848349687778769,0.9830810329474622,0.9829136690647482,0.983005366726297,0.988666085440279,0.0,0.9886064855390009,0.9968051118210862,0.9858281665190434,0.9559808612440192,0.9912434325744308,0.9820143884892086,0.9821905609973286,0.9989373007438895,0.9828828828828828,0.9893805309734514,0.9893805309734514,0.9911504424778761,0.9972041006523765,0.9830810329474622,0.9980099502487563,0.9883824843610366,
20,0.9906858594411516,0.9965065502183406,0.9872773536895675,0.911231884057971,0.9872881355932204,0.9872881355932204,0.9870912220309811,0.9845227858985383,0.9979695431472081,0.9979674796747967,0.997946611909651,0.9837467921300257,0.9979633401221996,0.9872122762148338,0.9846678023850085,0.9845227858985383,0.9846022241231822,0.9118705035971223,0.9886064855390009,0.0,0.9969666329625885,0.9872881355932204,0.9884751773049646,0.9856540084388186,0.9854077253218884,0.9855442176870748,0.9989909182643795,0.9862424763542562,0.9863945578231292,0.985531914893617,0.9837745516652434,0.9973285841495992,0.9846678023850085,0.9981042654028436,0.9854077253218884,
