Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,
11,0.3457987072945522,0.36148346738159065,0.36314847942754924,0.35951526032315984,0.3632707774798928,0.3616830796777082,0.34198542805100185,0.3436504324078289,0.1962323390894819,0.32713754646840154,0.0,0.36307146027518866,0.019144144144144115,0.36139722346618897,0.34138559708295346,0.3425841674249318,0.36286353467561516,0.36087539079946407,0.217741935483871,0.31999999999999995,0.3217108321710832,0.3430391264786169,0.364406779661017,0.34138559708295346,0.19979134063641102,0.3614939973321476,0.3215613382899628,0.04695360536612636,0.3646112600536193,0.341841385597083,0.3313140726933831,0.3612845673505798,0.3612845673505798,0.36123545210384955,0.3651006711409396,0.21763224181360197,0.20186335403726707,0.3403284671532847,0.3431952662721893,0.36294642857142856,0.3454380390376759,0.3531278331822303,0.2062176165803109,0.3627012522361359,0.3649732620320856,0.36107382550335565,0.3410852713178295,0.3403284671532847,0.35816876122082586,0.362661902635105,0.36139722346618897,0.3427401001365499,0.3421412300683371,0.3403284671532847,0.3439635535307517,0.3627012522361359,0.3538740371545084,
12,0.19654012493993267,0.07572718154463387,0.11237062592410052,0.10924369747899154,0.12291870714985309,0.11050814010853482,0.25183486238532105,0.2543538038496792,0.33010156971375804,0.24406148113646953,0.36307146027518866,0.0,0.36379769299023956,0.10633036597428291,0.25195043597980726,0.25571820677035684,0.11379310344827587,0.07132094424912105,0.3543516873889876,0.24582560296846012,0.24837812789620017,0.25457875457875456,0.07957957957957962,0.25195043597980726,0.34051329055912005,0.07634730538922152,0.24663885025498378,0.36062639821029085,0.11515748031496065,0.24839006439742406,0.2602040816326531,0.07896051974012996,0.07896051974012996,0.11094674556213013,0.12365063788027475,0.352,0.3253676470588235,0.2516069788797062,0.2514915098669114,0.07765531062124253,0.2556012802926383,0.20443814919735603,0.31851851851851853,0.11280788177339907,0.12914230019493178,0.07580321285140568,0.25240936209270304,0.2516069788797062,0.11614173228346458,0.07719298245614037,0.11100148001973364,0.25343721356553617,0.25114784205693297,0.25240936209270304,0.255387436955525,0.11187777230162643,0.2061320754716981,
13,0.3450346420323326,0.36221527467619474,0.3616830796777082,0.35951526032315984,0.3625391148860081,0.3602150537634409,0.34198542805100185,0.3436504324078289,0.19905956112852663,0.32791453785415703,0.019144144144144115,0.36379769299023956,0.0,0.36139722346618897,0.34138559708295346,0.3410746812386156,0.36139722346618897,0.3616071428571429,0.22043281328636133,0.3215613382899628,0.323269856014863,0.3430391264786169,0.364406779661017,0.34138559708295346,0.19979134063641102,0.3622222222222222,0.3231197771587744,0.055648302726766796,0.36314847942754924,0.341841385597083,0.3305361305361305,0.36201515827017383,0.36201515827017383,0.3605015673981191,0.36436884512085943,0.22032193158953728,0.20186335403726707,0.3403284671532847,0.3431952662721893,0.3636769299419902,0.343934575193094,0.3538740371545084,0.2080745341614907,0.36196868008948546,0.36351471900089205,0.3618067978533095,0.3410852713178295,0.3403284671532847,0.35816876122082586,0.3633928571428572,0.3599282832810399,0.3427401001365499,0.3421412300683371,0.3403284671532847,0.34320875113947125,0.3627012522361359,0.35461956521739135,
14,0.15916955017301038,0.051177072671443224,0.0547594677584442,0.013605442176870763,0.046224961479198745,0.053763440860215006,0.2824704813805631,0.2841579664094417,0.32414759458197107,0.2672533580361278,0.36139722346618897,0.10633036597428291,0.36139722346618897,0.0,0.28259881871876424,0.28545536927956505,0.054275473630312376,0.04764344262295084,0.3503813369223867,0.25846867749419955,0.26181649675625585,0.28435374149659864,0.049180327868852514,0.28259881871876424,0.3300790330079033,0.0578680203045685,0.25927643784786647,0.3566907775768535,0.05674846625766872,0.28070973612374883,0.2728538283062645,0.054563997960224375,0.0535714285714286,0.05325140809011775,0.03875968992248058,0.34874326750448836,0.3201672862453532,0.28149158708503863,0.27979981801637854,0.049180327868852514,0.28610230873698506,0.18208092485549132,0.3132022471910112,0.054247697031729825,0.051150895140664954,0.048229861467419144,0.28227272727272723,0.28149158708503863,0.032625582599689285,0.04669061056952284,0.05327868852459017,0.2816901408450704,0.28259881871876424,0.28070973612374883,0.28441617446615175,0.010465724751439032,0.18295618680789605,
15,0.25118035882908407,0.2844202898550725,0.28214447978191726,0.2820746132848043,0.29087624209575424,0.28370403994552884,0.0031847133757961776,0.009528851244044456,0.29933269780743565,0.16789758739537175,0.34138559708295346,0.25195043597980726,0.34138559708295346,0.28259881871876424,0.0,0.00846560846560851,0.28259881871876424,0.2853912256897332,0.3247824095281723,0.16650294695481338,0.16658476658476662,0.01004759386567955,0.2844202898550725,0.0,0.3087121212121212,0.28712871287128716,0.1683022571148185,0.33563535911602205,0.28370403994552884,0.013213530655391104,0.18529411764705883,0.28590785907859073,0.28590785907859073,0.283250113481616,0.2895333031264159,0.32693187014174674,0.2945920303605313,0.0037174721189591198,0.013206550449022747,0.2844202898550725,0.011615628299894376,0.2515137401024685,0.29705323193916355,0.28402903811252267,0.2897111913357401,0.2831215970961888,0.0037174721189591198,0.0037174721189591198,0.2853901996370236,0.28331822302810517,0.2833787465940054,0.007415254237288171,0.011634056054997344,0.004777070063694322,0.014799154334038,0.28558476881232997,0.2515137401024685,
16,0.2566995768688294,0.2872628726287263,0.2850022655188038,0.28493647912885667,0.29215509467989176,0.28577898550724634,0.008461131676361755,0.013720316622691242,0.301474084640989,0.1704322200392927,0.3425841674249318,0.25571820677035684,0.3410746812386156,0.28545536927956505,0.00846560846560851,0.0,0.28545536927956505,0.2882273342354533,0.32601737540009146,0.16903478686918172,0.16911764705882348,0.014232999472851837,0.2872628726287263,0.00846560846560851,0.3116147308781869,0.2891782667265379,0.16903478686918172,0.3368566176470589,0.28577898550724634,0.01843075302790942,0.18511263467189032,0.2887387387387388,0.2887387387387388,0.28532608695652173,0.2923633077270673,0.3281606572341397,0.29673450070989116,0.01004759386567955,0.018421052631578894,0.2872628726287263,0.01055408970976257,0.255338904363974,0.29919393077287815,0.2868778280542986,0.2894499549143372,0.285972850678733,0.012150026413100923,0.01004759386567955,0.28823529411764703,0.28694080433800273,0.28545536927956505,0.01371308016877637,0.017904160084254883,0.0110993657505285,0.020010531858873137,0.2876526458616011,0.255338904363974,
17,0.1582591493570722,0.059123343527013206,0.0068169900367068825,0.050333846944016436,0.06609049313675652,0.012029288702928853,0.2824704813805631,0.2841579664094417,0.32414759458197107,0.2728531855955678,0.36286353467561516,0.11379310344827587,0.36139722346618897,0.054275473630312376,0.28259881871876424,0.28545536927956505,0.0,0.059572301425661944,0.3525985663082437,0.26490984743411927,0.2674364896073903,0.28513145965548503,0.053169734151329195,0.28259881871876424,0.33395176252319114,0.07254408060453399,0.26571164510166356,0.35891647855530473,0.013068478829064256,0.28070973612374883,0.2768518518518519,0.06541582150101422,0.06443429731100969,0.013584117032392928,0.06673458991339787,0.3509636934110264,0.32172701949860727,0.28149158708503863,0.28058208276489316,0.05217391304347829,0.28610230873698506,0.1794500723589001,0.3155680224403927,0.007337526205450695,0.07769929364278505,0.05720122574055153,0.28227272727272723,0.28149158708503863,0.058763413387838526,0.05368098159509205,0.012552301255230103,0.2816901408450704,0.28181818181818186,0.28070973612374883,0.28285584356525695,0.059213884635017866,0.18383060635226178,
18,0.1591917200591424,0.007824726134585291,0.05906313645621186,0.049692622950819665,0.06737588652482274,0.05807437595517062,0.2852622061482821,0.28694080433800273,0.32682473268247325,0.27335480901978826,0.36087539079946407,0.07132094424912105,0.3616071428571429,0.04764344262295084,0.2853912256897332,0.2882273342354533,0.059572301425661944,0.0,0.35210008936550496,0.2646380820654679,0.2679558011049724,0.2879061371841155,0.013007284079084247,0.2853912256897332,0.3365650969529086,0.016028955532574996,0.2646380820654679,0.35765765765765767,0.061037639877924765,0.28351449275362317,0.27972350230414744,0.010400416016640657,0.010400416016640657,0.05657492354740057,0.06605691056910568,0.3504693786320966,0.3243992606284658,0.2842915346310547,0.28338614757808966,0.010937500000000044,0.2888688598467778,0.17941317941317936,0.3175046554934823,0.05855397148676167,0.07700050327126318,0.007832898172323799,0.2850678733031674,0.2842915346310547,0.05810397553516822,0.009384775808133461,0.05759429153924567,0.284486657620986,0.2853912256897332,0.28351449275362317,0.2864253393665158,0.05359877488514553,0.1837811900191939,
19,0.3413173652694611,0.3541759714158106,0.3521505376344086,0.3521758636159713,0.3537567084078712,0.35141192290452716,0.32540045766590386,0.3255494505494505,0.17150395778364114,0.31877323420074355,0.217741935483871,0.3543516873889876,0.22043281328636133,0.3503813369223867,0.3247824095281723,0.32601737540009146,0.3525985663082437,0.35210008936550496,0.0,0.3100558659217877,0.3086247086247086,0.3264746227709191,0.3571110120374499,0.3247824095281723,0.16065747613997883,0.3542222222222222,0.30926874708896135,0.20998980632008157,0.3543624161073825,0.3229357798165138,0.32057862809146054,0.35178571428571426,0.3525211958946899,0.3517025089605734,0.3548387096774194,0.010072747621712397,0.12055974165769645,0.32370472260430994,0.32432432432432434,0.35637823371989297,0.3281606572341397,0.34496826835902084,0.1626187961985216,0.3531781557743957,0.35401785714285716,0.3537567084078712,0.3244729605866178,0.32370472260430994,0.348607367475292,0.35609103078982596,0.3511210762331839,0.32616651418115283,0.32401466544454627,0.32370472260430994,0.32967535436671236,0.35244066278549036,0.34346642468239563,
20,0.23898467432950188,0.26281755196304846,0.26444752658344894,0.25951717734447544,0.2678653757491932,0.26444752658344894,0.16732090284592738,0.17278511992168377,0.2901979719942057,0.04550264550264549,0.31999999999999995,0.24582560296846012,0.3215613382899628,0.25846867749419955,0.16650294695481338,0.16903478686918172,0.26490984743411927,0.2646380820654679,0.3100558659217877,0.0,0.0160685591858597,0.17042115572967675,0.2636195752539243,0.16650294695481338,0.2899179932465027,0.268102658111824,0.020299145299145338,0.31786216596343175,0.2660508083140878,0.16519174041297935,0.05143160127253443,0.26678932842686287,0.26678932842686287,0.26237852845904674,0.26481481481481484,0.3067599067599067,0.2813102119460501,0.16699410609037324,0.1651105651105651,0.26281755196304846,0.1689520078354554,0.23113431419079256,0.28046421663442944,0.26478743068391863,0.26988505747126434,0.2614530310041647,0.16519174041297935,0.16699410609037324,0.2613531047265987,0.26247689463955637,0.26410730804810356,0.16732090284592738,0.16470009832841692,0.16699410609037324,0.17295443410093092,0.2639852057327785,0.22776985259153593,
