Genomes,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,
11,0.10531012940651496,0.11093819475322364,0.10884815569133288,0.09274646305861212,0.11728931364031281,0.1295336787564767,0.10667261771925907,0.10492170022371361,0.11069868995633192,0.11491495856955958,0.0,0.10374449339207048,0.0886788206167004,0.12736699729486023,0.09181858603823922,0.14853420195439737,0.10770949720670386,0.11986827661909993,0.10062752129090091,0.0998641304347826,0.1492570914002701,0.12174110179097708,0.1167073441313512,0.0447350309704061,0.09662372278987119,0.09775784753363226,0.12770758122743686,0.15371329879101903,0.09876819708846585,0.09437306158617631,0.11390968913092803,0.10186199342825852,0.10106856634016026,0.06390720946099615,0.11120996441281139,0.13353048225659692,0.11372904395106476,0.08744144546062904,0.11444984533804681,0.10819892473118276,0.11935557068300429,0.12226975906327409,0.14544640859252633,0.035490605427975,0.08069229040233761,0.09679587721263727,0.15256525652565256,0.10178970917225949,0.08165096455809784,0.1307500566508044,0.12213059950969463,0.07598371777476254,0.08254115464873635,0.11533273381294962,0.11909090909090914,0.11220604703247483,
12,0.08350033400133605,0.11718408395277657,0.11607738492328223,0.09008209451963611,0.028949730700179588,0.12391352796969024,0.13349251139570217,0.10212201591511938,0.02032061413411601,0.09482383645063075,0.10374449339207048,0.0,0.09537508298296082,0.12260365581810073,0.0739592559787422,0.15717637022819364,0.13575152041702865,0.10336538461538458,0.1264994547437296,0.10387873383860902,0.16549295774647887,0.1220657276995305,0.14350453172205435,0.09735682819383262,0.08680326063009469,0.12535426204490951,0.12419175027870677,0.15517241379310343,0.12671456564337036,0.09297746663749729,0.11053811659192825,0.10326204363793479,0.08102108768035521,0.07066189624329156,0.11580560420315233,0.13536530703720306,0.11836825679893004,0.09242590559824371,0.11896476729012617,0.10745080698651333,0.12139503688799469,0.1184064099710661,0.13142094729819875,0.09667405764966741,0.06830357142857146,0.12317418792238932,0.14505347593582885,0.12431842966194107,0.08421750663129979,0.12927756653992395,0.10620842572062084,0.08121940364931024,0.13001784121320248,0.10397144132083891,0.11987452386287256,0.13937282229965153,
13,0.06031528444139822,0.06271379703534774,0.05968416163492796,0.05920000000000003,0.1082733027723205,0.11640571817562972,0.10880713489409144,0.05667737494263425,0.10118525021949076,0.10792469352014011,0.0886788206167004,0.09537508298296082,0.0,0.11549807125028366,0.07945389435989259,0.15097613882863337,0.11153245594467986,0.0785457809694794,0.10277653381101659,0.08645072992700731,0.15012379023182532,0.11149110807113538,0.12090345438441097,0.08817590307381651,0.0868691380080393,0.09991039426523296,0.1145454545454545,0.15374649103865257,0.10388739946380698,0.07821229050279332,0.09228650137741046,0.08298296083204248,0.08660533991474084,0.04074585635359118,0.06561859193438135,0.09365558912386707,0.06733224982586483,0.04426192105863569,0.07317073170731703,0.06441999082989458,0.09954128440366972,0.10436562073669853,0.1034561684596017,0.078738370773769,0.06636466591166479,0.09894783971345422,0.126027397260274,0.09968637992831542,0.03764057837961898,0.09097222222222223,0.08021877848678216,0.05265567765567769,0.12176283507496588,0.07244710211591532,0.10793505602561171,0.11602951039570752,
14,0.11164165529786263,0.12203389830508471,0.08395872420262662,0.09582760201742324,0.13645352669742916,0.022898903775883106,0.14135304659498205,0.12960036125536234,0.13071318171781854,0.12751826433473545,0.12736699729486023,0.12260365581810073,0.11549807125028366,0.0,0.10045248868778278,0.16805799648506148,0.1378457387002474,0.13013392857142858,0.12954186413902058,0.047596382674916726,0.10070921985815606,0.02294921875,0.1516366065464262,0.12125309894072567,0.10960757780784847,0.1325680846275039,0.02363547758284601,0.1711849584608658,0.13480116827679178,0.11618535930154461,0.04593554593554594,0.10801160455255521,0.0895351499885505,0.09255441008018328,0.11891279728199322,0.03912937148447049,0.06168135270302455,0.09602724177071509,0.12595419847328249,0.09151837300670207,0.042290961817303074,0.05673420738974966,0.07119047619047614,0.11772727272727268,0.09053497942386834,0.13283884018880643,0.05030376670716885,0.13276327632763274,0.10231397459165159,0.04794188861985471,0.09810710987996307,0.08492520138089754,0.07730732635585158,0.08906505012823507,0.02031326480665685,0.14578177727784025,
15,0.03638443935926772,0.1017024099049304,0.09903218546027459,0.07492148945715571,0.08590163934426231,0.10435961147503958,0.11084178052005289,0.08243727598566308,0.08121158911325721,0.05131637661758148,0.09181858603823922,0.0739592559787422,0.07945389435989259,0.10045248868778278,0.0,0.14051370602201596,0.11228766821089786,0.06073509636934116,0.1053097345132743,0.08274926520461223,0.14715719063545152,0.10113378684807262,0.12072743207712533,0.07896497880883335,0.035843920145190555,0.10163861824623566,0.10162969669533728,0.13570658036677452,0.10263216102632156,0.07166629687153314,0.09889115184430863,0.08781127129750987,0.03264094955489616,0.057362240289069555,0.10070827799911464,0.11542831174733015,0.09486076522526599,0.07873142603681527,0.10400175901495168,0.0787933363349842,0.10774791054890442,0.10861759425493711,0.09310266332802186,0.08288530465949817,0.022461608984643555,0.10152621101526216,0.12917042380522992,0.10267758353618062,0.07120535714285714,0.11613194758246725,0.05726671229751312,0.06330254561838256,0.12157303370786521,0.06132723112128147,0.09929561463303793,0.11465250110668435,
16,0.1513771416178703,0.16817010309278346,0.16673951048951052,0.14754454584963062,0.16996213714766517,0.16853438804658316,0.14344887726182687,0.16429188255613125,0.16034738402880744,0.16515119475576234,0.14853420195439737,0.15717637022819364,0.15097613882863337,0.16805799648506148,0.14051370602201596,0.0,0.1477446066681194,0.16167664670658688,0.13810461807835417,0.1496045694200352,0.18055555555555558,0.16765807446574132,0.15464587394411955,0.1442516268980477,0.1479328165374677,0.1369503390942901,0.17043707445640233,0.02439585730724969,0.1391133435247871,0.15591627509611272,0.1669595782073814,0.15741525423728808,0.14915693904020755,0.1260964912280702,0.1649085037674919,0.17926613616268794,0.16226912928759896,0.1472551130247578,0.17239172178365691,0.15356131561751252,0.17343578485181121,0.17266972276795456,0.1826124945391,0.14145168342807168,0.1302356020942408,0.13149243918474685,0.19333625602805782,0.13673156858455482,0.1399783315276273,0.18159859464207295,0.1676776429809359,0.13740458015267176,0.17818740399385558,0.1610576923076923,0.16721817780719173,0.1477670753064798,
17,0.12367021276595747,0.1271280123811629,0.12912643161913318,0.11383381599465359,0.1490683229813664,0.13832658569500678,0.016416510318949307,0.1299822852081488,0.14273412271259422,0.13441558441558443,0.10770949720670386,0.13575152041702865,0.11153245594467986,0.1378457387002474,0.11228766821089786,0.1477446066681194,0.0,0.14108425865447416,0.019456165025785288,0.11088527551942184,0.08974358974358976,0.13398102123813826,0.031177291763610948,0.10883596705987086,0.11828193832599121,0.027058549101936058,0.13651723361117374,0.15294627383015602,0.02819198508853682,0.12012275317843046,0.13294276701216767,0.12277270751847025,0.11858407079646016,0.08722109533468558,0.13071318171781854,0.14577193380185904,0.12556458897922318,0.107593535532433,0.13625410733844467,0.11781801922646995,0.1328813559322034,0.1452476572958501,0.16195773081201337,0.09842342342342347,0.10316399286987521,0.027945971122496527,0.1658449125952488,0.029123951537744608,0.10659560293137904,0.15047233468286103,0.14200398142003978,0.09478885893980238,0.13863174531496947,0.13459821428571428,0.1317934782608695,0.043083372147182164,
18,0.04431247144814987,0.09960070984915703,0.09945872801082545,0.08219484882418815,0.11721611721611724,0.13269402319357715,0.1380060949063997,0.08325852782764809,0.11108705067128632,0.09007232084155159,0.11986827661909993,0.10336538461538458,0.0785457809694794,0.13013392857142858,0.06073509636934116,0.16167664670658688,0.14108425865447416,0.0,0.1322404371584699,0.11264778050412672,0.17419070689275495,0.1300358102059087,0.14882111183214364,0.11267296288161655,0.06906571300849351,0.13068181818181823,0.13214285714285712,0.159265584970111,0.13244599607244167,0.10157618213660247,0.1277641277641277,0.11339092872570189,0.07347670250896055,0.08543386125362484,0.0986009327115257,0.11717861205915814,0.09700815956482323,0.10521701008329676,0.10359268238924402,0.08307068887888336,0.13354175971415816,0.13464951197870456,0.08697642481116963,0.1133451171011931,0.050939551731944754,0.12685914260717412,0.13807060939959526,0.1292368248414607,0.09878721058434403,0.11488783140720593,0.06115928799634873,0.0920818505338078,0.15118598980270448,0.059458218549127695,0.1307950727883539,0.14472822527832352,
19,0.1141776096149566,0.118508655126498,0.11953089760938207,0.10467456944755094,0.13959991395999138,0.12960036125536234,0.03002094484524087,0.12177777777777776,0.13399610979036092,0.12925612665365427,0.10062752129090091,0.1264994547437296,0.10277653381101659,0.12954186413902058,0.1053097345132743,0.13810461807835417,0.019456165025785288,0.1322404371584699,0.0,0.10244786944696282,0.10446036514906398,0.12562358276643992,0.04049051365108747,0.1005137368773732,0.11007957559681703,0.018028564738936992,0.1286166365280289,0.1429815016322089,0.021490306003270288,0.1115511551155115,0.1220561594202898,0.11428571428571432,0.10950688582852064,0.0782805429864254,0.12211879432624118,0.13742889647326506,0.11845979614949043,0.09804357492218763,0.12857142857142856,0.11372285650324598,0.123666893578398,0.13578310553439388,0.15217877094972065,0.08953199186072802,0.0943860433907403,0.017080018717828716,0.1576698155645524,0.019185774450163784,0.0965871068480928,0.14011299435028246,0.1326077298978232,0.08504398826979476,0.12944910451144864,0.12466367713004489,0.12340909090909091,0.03504672897196259,
20,0.09167424931756141,0.09487063095778481,0.052383199622463406,0.0681556527745798,0.11758241758241761,0.05318138651471982,0.11366194013054243,0.10464326160815407,0.11299933789450456,0.10892185078591987,0.0998641304347826,0.10387873383860902,0.08645072992700731,0.047596382674916726,0.08274926520461223,0.1496045694200352,0.11088527551942184,0.11264778050412672,0.10244786944696282,0.0,0.11778344539763508,0.04070881226053635,0.12458063073138004,0.0997517490408486,0.08807588075880757,0.10556057866184454,0.04880952380952386,0.154434250764526,0.10699774266365691,0.09268402154398558,0.06482791136256483,0.0824188129899216,0.0873808443032229,0.06176538372896978,0.09124004550625708,0.054741896758703446,0.03371592539454804,0.06598173515981731,0.10198108959927965,0.06674391657010426,0.06134533396494557,0.07525122692217812,0.09296365330848089,0.09039032184432783,0.07000686341798212,0.1041572525982829,0.08072916666666663,0.10490617228125709,0.0745214220601641,0.06966824644549763,0.07827291618563847,0.05529847292919943,0.09360410830999066,0.0699300699300699,0.03910748560460653,0.11799276672694392,
