Homology group id,Class,Genome 1,Genome 2,Genome 3,Genome 4,Genome 5,Genome 6,Genome 7,Genome 8,Genome 9
2031250,accessory,1,0,0,0,1,0,0,0,0
2031251,accessory,1,0,0,0,1,0,0,0,0
2031252,accessory,1,0,0,0,1,0,0,0,0
2031253,accessory,1,0,0,0,1,0,0,0,0
2031254,accessory,1,0,0,0,1,0,0,0,0
2031255,accessory,1,0,0,0,1,0,0,0,0
2031256,accessory,1,0,0,0,1,0,0,0,0
2031257,accessory,1,0,0,0,1,0,0,0,0
2031258,accessory,1,0,0,0,1,0,0,0,0
2031259,accessory,1,0,0,0,1,0,0,0,0
2031260,accessory,1,0,0,0,1,0,0,0,0
2031261,accessory,1,0,0,0,1,0,0,0,0
2031262,accessory,1,0,0,0,1,0,0,0,0
2031263,accessory,1,0,0,0,1,0,0,0,0
2031265,accessory,1,0,0,0,1,0,0,0,0
2031266,accessory,1,0,0,0,1,0,0,0,0
2031267,accessory,1,0,0,0,1,0,0,0,0
2031268,accessory,1,0,0,0,1,0,0,0,0
2031269,accessory,1,0,0,0,1,0,0,0,0
2031270,accessory,1,0,0,0,1,0,0,0,0
2031271,accessory,1,0,0,0,1,0,0,0,0
2031272,accessory,1,0,0,0,1,0,0,0,0
2031273,accessory,1,0,0,0,1,0,0,0,0
2031274,accessory,1,0,0,1,1,0,0,0,0
2031276,accessory,1,0,0,0,1,0,0,0,0
2031277,accessory,1,0,0,0,1,0,0,0,0
2031278,accessory,1,0,0,0,1,0,0,0,0
2031279,accessory,1,0,0,0,1,0,0,0,0
2031280,accessory,1,0,0,0,1,0,0,0,0
2031281,accessory,1,0,0,0,1,0,0,0,0
2031282,accessory,1,0,0,0,1,0,0,0,0
2031283,accessory,1,0,0,0,1,0,0,0,0
2031284,accessory,1,0,0,0,1,0,0,0,0
2031285,accessory,1,0,0,0,1,0,0,0,0
2031286,accessory,1,0,0,0,1,0,0,0,0
2031288,accessory,1,0,0,0,1,0,0,0,0
2031289,accessory,1,0,0,0,1,0,0,0,0
2031290,accessory,1,0,0,0,1,0,0,0,0
2031291,accessory,1,0,0,0,1,0,0,0,0
2031292,accessory,1,0,0,0,1,0,0,0,0
2031293,accessory,1,0,0,0,1,0,0,0,0
2031294,accessory,1,0,0,0,1,0,0,0,0
2031295,accessory,1,0,0,0,1,0,0,0,0
2031296,accessory,1,0,0,0,1,0,0,0,0
2031297,accessory,1,0,0,0,1,0,0,0,0
2031298,accessory,1,0,0,0,1,0,0,0,0
